6.57,0.92,0.0574,13.25,COLD
7.76,0.85,0,6.99,COLD
7.25,0.76,0,12.05,COLD
5.54,0.96,0.0028,0.99,FREEZING
4.19,0.89,0,5.42,FREEZING
10.03,0.77,0.0007,11.68,OK
8.42,0.84,0.0012,10.39,COLD
8.22,0.88,0,6.54,COLD
6.91,0.83,0,8.68,COLD
5.92,0.91,0,5.22,FREEZING
6.06,0.8,0,8.09,COLD
3.44,0.91,0.0029,7.23,FREEZING
6.51,0.86,0,6.05,COLD
4.93,0.87,0.002,5.54,FREEZING
9.38,0.94,0,6.27,OK
7.76,0.85,0,7.32,COLD
6.83,0.89,0,5.91,COLD
7.91,0.9,0,8.95,COLD
6.29,0.84,0,4.91,COLD
4.12,0.93,0,0.39,FREEZING
3.51,0.94,0,4.6,FREEZING
7.07,0.94,0,5.09,COLD
6.77,0.76,0.0011,8.37,COLD
5.37,0.89,0,6.35,COLD
8.97,0.9,0.0003,7.25,OK
6.2,0.96,0.0106,11.65,COLD
6.77,0.79,0,8.85,COLD
6.46,0.9,0,10.47,COLD
4.81,0.9,0.0017,8.6,FREEZING
1.72,0.92,0.0008,5.2,FREEZING
4.47,0.93,0.0022,8.66,FREEZING
5.21,0.76,0,12.62,COLD
7.55,0.75,0,7.13,COLD
6.89,0.8,0,10.45,FREEZING
6.79,0.77,0,9.28,COLD
6.62,0.85,0.0275,17.34,FREEZING
6.97,0.8,0,5.15,COLD
6.86,0.81,0.0005,8.27,COLD
7.76,0.68,0,14.61,FREEZING
7.44,0.72,0,10.81,COLD
4.65,0.9,0.0125,3,FREEZING
1.72,0.96,0.0314,3.82,FREEZING
6.6,0.88,0.0136,17.28,COLD
5.75,0.72,0,7.96,COLD
3.88,0.92,0.0136,11.16,FREEZING
7.37,0.77,0.0009,11.18,COLD
7.49,0.68,0,5.61,COLD
8.44,0.89,0,8.62,COLD
8.98,0.89,0.0003,5,COLD
9.27,0.8,0,4.22,OK
10.86,0.72,0,6.97,OK
7.51,0.72,0,7.85,COLD
9.33,0.67,0,5.83,OK
11.06,0.81,0,11.87,OK
8.84,0.8,0,5.5,OK
8.92,0.75,0,9.46,COLD
8.99,0.69,0,7.86,COLD
7.57,0.75,0.001,8.54,COLD
4.21,0.93,0.0022,4.77,FREEZING
6.93,0.75,0,1.12,COLD
8.26,0.88,0.005,8.53,COLD
7.44,0.79,0,3.42,COLD
9.07,0.74,0,5.22,OK
8.89,0.77,0,4.44,COLD
9.24,0.9,0.0007,6.5,OK
13.21,0.74,0,8.77,OK
11.06,0.77,0,8.9,OK
14.78,0.57,0,5.84,OK
10.37,0.7,0,6.91,OK
8.84,0.72,0,5.95,OK
5.7,0.92,0,2.75,COLD
8.84,0.82,0,2.32,COLD
11.48,0.74,0,4.77,OK
13.5,0.54,0,10.08,OK
13.84,0.62,0,6.59,OK
12.82,0.59,0,4.78,OK
10.06,0.85,0.0047,7.74,OK
11.72,0.69,0,6.65,OK
11.36,0.68,0,9.72,OK
9.78,0.62,0,7.99,OK
8.07,0.62,0,7.35,COLD
6.62,0.75,0.0015,9.26,COLD
8.88,0.56,0,8.93,COLD
6.87,0.93,0.0083,4.01,COLD
7.56,0.69,0,5.32,COLD
7.56,0.72,0,6.91,COLD
9.63,0.76,0,6.66,OK
15.89,0.48,0,15.43,WARM
15.37,0.62,0,4.62,WARM
13.9,0.72,0,4.2,OK
13.48,0.74,0,2.49,OK
11.95,0.85,0,7.18,OK
9.62,0.92,0,6.44,OK
12.66,0.75,0.0003,3.72,OK
12.71,0.85,0,6.64,OK
14.29,0.85,0,9.85,OK
13.18,0.9,0,9.23,OK
10.26,0.6,0,9.93,OK
14.18,0.61,0,5.57,WARM
13.02,0.58,0,3,OK
12.98,0.53,0,2.91,OK
10.9,0.68,0,6.57,OK
12.31,0.58,0,6.55,OK
12.73,0.54,0,6.17,OK
12.99,0.5,0,2.79,OK
13.51,0.55,0,4.91,OK
12.91,0.7,0,8.12,OK
11.42,0.49,0,4.25,OK
9.95,0.59,0,6.17,OK
11.07,0.84,0,7.88,OK
15.08,0.76,0,4.68,WARM
12.03,0.86,0,4.74,OK
14.39,0.67,0,8.12,OK
12.57,0.77,0,1.63,OK
9.23,0.94,0.0561,4.5,OK
13.83,0.63,0,8.61,OK
12.56,0.73,0,5.51,OK
14.61,0.69,0,3.77,WARM
13.96,0.76,0,2.02,WARM
17.58,0.59,0,3.37,WARM
12.24,0.87,0.0306,1.58,OK
11.02,0.63,0,5.79,OK
12.29,0.45,0,0.98,OK
15.11,0.55,0,4.03,WARM
15.23,0.61,0,6.51,WARM
15.67,0.58,0,5.29,WARM
13.24,0.65,0,8.41,OK
12.82,0.95,0.0077,3.65,OK
13.76,0.61,0,9.84,OK
13.32,0.77,0.0042,9.31,OK
11.99,0.73,0,11.61,OK
11.04,0.8,0.003,4.32,OK
13.09,0.71,0.0016,4.81,OK
16.72,0.53,0,5.57,WARM
18.07,0.58,0,0.37,WARM
20.33,0.57,0,2.03,HOT
20.88,0.46,0,3.21,HOT
21.4,0.53,0,7.11,HOT
23.14,0.49,0,8.39,HOT
18.52,0.68,0,4.54,WARM
18.34,0.46,0,2.63,WARM
14.17,0.74,0.0003,4.4,WARM
13.46,0.72,0,7.49,WARM
12.23,0.92,0.0372,3.87,OK
14.08,0.69,0,5.64,OK
15.11,0.66,0,3.01,WARM
14.59,0.76,0.001,5.18,OK
11.98,0.95,0.0085,5.39,OK
13.52,0.93,0,3.6,OK
14.04,0.74,0,4.7,OK
16.79,0.65,0,2,WARM
19.83,0.51,0,2.14,HOT
17.64,0.71,0,3.54,HOT
17.07,0.68,0,3.24,HOT
12.32,0.89,0.0303,2.27,WARM
16.44,0.53,0,6.77,WARM
19.53,0.51,0,5.97,HOT
15.24,0.94,0.0526,2.36,WARM
20.5,0.57,0,5.23,HOT
19.14,0.8,0.0006,2.24,HOT
19.43,0.56,0,5.59,HOT
18.05,0.64,0,3.74,HOT
21.36,0.53,0,2.23,HOT
23.01,0.54,0,4.06,HOT
20.32,0.69,0,4.17,HOT
16.99,0.77,0,3.63,WARM
16.73,0.63,0,5.4,WARM
17.83,0.67,0,6.45,WARM
17.99,0.78,0,2.21,WARM
18.57,0.72,0,5.36,WARM
21.05,0.57,0,2.07,HOT
19.66,0.54,0,4.5,HOT
22.09,0.55,0,0.52,HOT
22.68,0.59,0,1.99,HOT
19.67,0.62,0,4.12,HOT
18.98,0.5,0,3.17,HOT
18.55,0.52,0,5.38,WARM
15.11,0.88,0.0043,1.84,WARM
13.82,0.86,0.0006,4.65,WARM
15.96,0.67,0,6.37,WARM
18.46,0.56,0,3.14,WARM
20.76,0.49,0,2.91,HOT
22.61,0.48,0,3.17,HOT
21.48,0.64,0,5.37,HOT
20.67,0.67,0,5.91,HOT
18.12,0.65,0,2.93,HOT
18.91,0.53,0,3.45,HOT
19.79,0.51,0,3.19,HOT
17.17,0.71,0.0015,3.77,WARM
19.42,0.65,0,8.99,HOT
22.1,0.52,0,6.88,HOT
21.14,0.58,0,5.78,HOT
24.95,0.48,0,1.69,HOT
18.65,0.69,0,5.39,WARM
20.58,0.57,0,4.07,HOT
19.02,0.56,0,4.51,HOT
21.53,0.68,0,4.04,HOT
23.34,0.58,0,2.68,HOT
23.92,0.72,0,6.33,HOT
19.54,0.95,0.0909,2.86,HOT
22.32,0.71,0,4.26,HOT
23.51,0.56,0,4.67,HOT
24.14,0.54,0,3.83,HOT
24.31,0.59,0,6.79,HOT
24.19,0.61,0,5.33,HOT
25.24,0.54,0,5.22,HOT
25.98,0.45,0,1.14,HOT
21.23,0.53,0,3.31,HOT
21.93,0.51,0,3.34,HOT
22.68,0.55,0,4.05,HOT
19.94,0.62,0,4.47,WARM
22.28,0.58,0,4.25,HOT
21.53,0.64,0,5.27,HOT
16.82,0.94,0.0442,4.05,WARM
20.44,0.55,0,5.6,HOT
21.01,0.52,0,2.71,HOT
16.71,0.88,0.021,3.42,WARM
22.02,0.66,0,5.23,HOT
20.83,0.57,0,1.52,HOT
23.08,0.57,0,1.96,HOT
20.65,0.53,0,5.38,HOT
14.62,0.95,0.0417,1.96,WARM
19.11,0.56,0,6.69,HOT
17.99,0.55,0,5.92,WARM
17.86,0.66,0,6.12,WARM
18.1,0.71,0.0007,2.72,WARM
18.23,0.63,0,2.65,WARM
17.09,0.61,0,5.13,WARM
17.66,0.56,0,7.84,WARM
16.08,0.71,0.0072,5.48,WARM
14.61,0.63,0.0024,7.8,WARM
15.22,0.61,0.0002,3.97,WARM
15.93,0.59,0,4.83,WARM
16.09,0.64,0,4.52,WARM
15.02,0.61,0.0016,5.39,WARM
16.31,0.6,0,3.7,WARM
13.86,0.96,0.0114,5.08,OK
15.49,0.86,0,8.84,WARM
18.12,0.64,0.0003,6.51,WARM
18.8,0.72,0,6.59,WARM
17.95,0.72,0,7.25,WARM
17.22,0.71,0,6.67,WARM
18.06,0.67,0,5.38,WARM
17.03,0.89,0.0012,4.05,WARM
19.87,0.54,0,2.56,HOT
19.82,0.72,0,3.63,HOT
19.08,0.7,0,4.77,HOT
19.8,0.66,0,1.94,HOT
18.08,0.77,0,3.32,WARM
17.96,0.54,0,3.81,WARM
18.07,0.57,0,2.65,WARM
19.54,0.58,0,0.98,WARM
19.89,0.62,0,2.63,HOT
18.15,0.58,0,2.9,WARM
18.03,0.69,0,4.02,WARM
18.79,0.63,0,4.49,WARM
18.12,0.67,0,4.99,WARM
17.41,0.8,0,3.27,WARM
18.83,0.75,0,4.81,WARM
18.57,0.74,0,5.08,WARM
19.12,0.82,0,4.38,WARM
15.89,0.94,0.0065,3.07,OK
16.32,0.91,0.0007,3.11,OK
16.97,0.59,0,5.4,OK
18.03,0.58,0,3.21,WARM
17.19,0.69,0,4.38,WARM
15.27,0.68,0.0005,8.05,OK
17.63,0.7,0,5.53,WARM
19.37,0.62,0,5.12,HOT
18.3,0.69,0,2.32,WARM
20.81,0.64,0,2.05,HOT
19.42,0.74,0,2.35,WARM
18.52,0.72,0,4.11,WARM
18.31,0.69,0,4.5,WARM
16.01,0.76,0,2.1,WARM
17.68,0.74,0,5.34,WARM
10.77,0.88,0.008,5.48,OK
14.06,0.68,0,3.52,WARM
11.06,0.94,0.0148,7.44,OK
10.69,0.78,0.0037,6.59,OK
13.89,0.91,0.0015,4.99,WARM
12.17,0.87,0.0318,5.03,WARM
15.27,0.7,0,4.14,WARM
12.89,0.89,0,1.74,WARM
10.66,0.91,0,1.34,OK
11.12,0.93,0.0093,8.38,OK
11.21,0.93,0.0047,5.11,OK
13.34,0.86,0,4.76,WARM
14.96,0.85,0.0003,2.58,WARM
17.04,0.81,0,4.44,WARM
17.94,0.8,0,6.53,WARM
17.77,0.64,0,7.09,WARM
13.38,0.82,0,4.29,WARM
11.61,0.62,0.0003,10.63,OK
11.88,0.72,0,5.24,OK
14.33,0.86,0,5.04,WARM
15.07,0.89,0.002,3.87,WARM
12.61,0.86,0,5.22,OK
13.41,0.77,0,6.07,OK
14.87,0.85,0,5.44,OK
17.89,0.72,0,6.95,OK
10.39,0.93,0,3.75,OK
16.72,0.9,0.0004,4.42,WARM
17.51,0.83,0,4.44,WARM
14.28,0.74,0,4.29,WARM
12.87,0.84,0,3.11,WARM
10.22,0.74,0,4.07,OK
7.57,0.87,0.0004,0.95,COLD
9.68,0.76,0,5.19,OK
8.99,0.81,0,5.81,OK
10.34,0.92,0.0148,5.48,OK
9.96,0.96,0.0602,5.81,OK
10.23,0.85,0,3.01,OK
9.3,0.92,0,4.22,OK
10.19,0.88,0.0034,6.37,OK
9.95,0.92,0.002,5.84,OK
11.47,0.87,0,8.82,OK
11.84,0.91,0.0015,3.52,WARM
9.19,0.96,0,0.25,OK
9.43,0.96,0,3.03,OK
7.96,0.95,0.0009,5.93,COLD
10.24,0.88,0,3.12,OK
9.08,0.93,0,4.29,OK
8.52,0.9,0,2.55,OK
7.59,0.9,0.0007,6.62,COLD
13.45,0.96,0.0108,3.42,WARM
7.81,0.94,0,2.39,COLD
5.72,0.9,0,0.8,COLD
2.46,0.94,0.0012,1.51,FREEZING
7.42,0.97,0.0012,2.62,WARM
7.79,0.96,0.0002,1.21,WARM
10.64,0.92,0,3.84,OK
9.89,0.95,0,3.5,OK
10.03,0.91,0.0004,6.13,OK
6.88,0.91,0,2.69,COLD
7.18,0.73,0,8,COLD
5.33,0.75,0,5.37,FREEZING
4.88,0.9,0,1.29,FREEZING
6.04,0.86,0.0014,5.32,OK
4.95,0.87,0,1.72,FREEZING
7.11,0.78,0.0006,8.16,OK
5.33,0.73,0.0003,5.98,FREEZING
4.19,0.87,0,4.91,FREEZING
6.75,0.7,0,6.02,OK
5.08,0.83,0.0014,7.2,OK
4.02,0.87,0,3.42,FREEZING
4.11,0.86,0,3.11,FREEZING
7.03,0.86,0,6.32,OK
6.32,0.87,0,3.93,OK
6.68,0.82,0,4.61,OK
11.87,0.87,0,5.66,WARM
13.22,0.83,0,9.8,WARM
7.61,0.73,0,8.39,OK
8.26,0.73,0,7.31,OK
9.04,0.84,0,5.86,OK
12.13,0.84,0,8.77,WARM
10.9,0.87,0.0003,6.81,OK
6.63,0.72,0,5.61,OK
6.54,0.77,0,5.03,OK
3.37,0.92,0,2.77,FREEZING
3.04,0.91,0.0045,4.06,FREEZING
2.57,0.87,0.0008,2.41,FREEZING
3.23,0.88,0.0003,2.25,FREEZING
2.7,0.91,0.0022,3,FREEZING
5.35,0.92,0.0013,3.7,FREEZING
11.07,0.88,0,7.2,OK
7.33,0.64,0,7.63,OK
3.44,0.96,0.0602,2.83,FREEZING
0.45,0.97,0.0007,2.01,FREEZING
6.95,0.94,0,3.11,COLD
6.86,0.87,0.0075,6.31,COLD
6.76,0.86,0.0065,7.43,COLD
7.07,0.9,0.001,4.8,COLD
10.96,0.67,0,7.16,OK
7.83,0.63,0.0003,12.01,COLD
7.06,0.69,0,6.76,COLD
10.49,0.88,0.0013,6.6,OK
5.02,0.77,0.0003,3.95,FREEZING
3.19,0.79,0.0048,5.22,FREEZING
5.63,0.82,0.0097,6.64,FREEZING
5.46,0.77,0,4.95,FREEZING
3.39,0.87,0,4.86,FREEZING
2.42,0.88,0,2.55,FREEZING
2.02,0.79,0,2.14,FREEZING
1.21,0.83,0,3.54,FREEZING
3.23,0.94,0,3.62,FREEZING
2.9,0.87,0,1.68,FREEZING
1.49,0.85,0,4.72,FREEZING
5.44,0.75,0,6.7,FREEZING
6.97,0.79,0,4.99,OK
7.31,0.72,0,8.16,OK
7.2,0.84,0,3.76,OK
5.4,0.74,0.0089,11.68,FREEZING
3.11,0.87,0.0018,6.56,FREEZING
3.86,0.88,0.0242,5.19,FREEZING
4.43,0.77,0.004,9.08,FREEZING
3.64,0.65,0,9.78,FREEZING
1.47,0.78,0,4.18,FREEZING
3.34,0.77,0,6.46,FREEZING
3.34,0.71,0,5.81,FREEZING
